time_s,hr_bpm,d_meter_m,latitude,longitude
2025-09-01T08:28:35.000Z,85,12.050000190734863,47.37209997139871,15.09764919988811
2025-09-01T08:28:39.000Z,89,26.93000030517578,47.372233578935266,15.097608966752887
2025-09-01T08:28:41.000Z,91,32.369998931884766,47.37228311598301,15.097609804943204
2025-09-01T08:28:42.000Z,93,33.58000183105469,47.372290743514895,15.097597986459732
2025-09-01T08:28:44.000Z,96,35.77000045776367,47.37231748178601,15.09759010747075
2025-09-01T08:28:47.000Z,99,40.59000015258789,47.37236374989152,15.097573092207313
2025-09-01T08:28:49.000Z,105,43.599998474121094,47.37238973379135,15.097561944276094
2025-09-01T08:28:51.000Z,108,46.06999969482422,47.37241219729185,15.097562111914158
2025-09-01T08:28:55.000Z,110,56.91999816894531,47.372508672997355,15.097541157156229
2025-09-01T08:29:02.000Z,112,75.45999908447266,47.372675221413374,15.097509557381272
2025-09-01T08:29:09.000Z,114,84.04000091552734,47.372754933312535,15.097497068345547
2025-09-01T08:29:15.000Z,114,95.52999877929688,47.372858030721545,15.097500002011657
2025-09-01T08:29:22.000Z,115,117.1500015258789,47.373050982132554,15.09750310331583
2025-09-01T08:29:27.000Z,117,131.27999877929688,47.373176543042064,15.097480807453394
2025-09-01T08:29:33.000Z,118,146.80999755859375,47.37331752665341,15.097484244033694
2025-09-01T08:29:39.000Z,119,160.9499969482422,47.37344275228679,15.097444849088788
2025-09-01T08:29:44.000Z,120,174.69000244140625,47.37356420606375,15.097461612895131
2025-09-01T08:29:50.000Z,122,189.6699981689453,47.37368339672685,15.097344350069761
2025-09-01T08:29:55.000Z,124,202.0800018310547,47.37377970479429,15.097251394763589
2025-09-01T08:30:00.000Z,126,216.75999450683594,47.37389822490513,15.097172437235713
2025-09-01T08:30:05.000Z,128,230.38999938964844,47.374004842713475,15.097084594890475
2025-09-01T08:30:10.000Z,130,242.24000549316406,47.37408237531781,15.096973283216357
2025-09-01T08:30:11.000Z,130,244.3000030517578,47.37409587018192,15.09695434011519
2025-09-01T08:30:15.000Z,131,254.63999938964844,47.3741796053946,15.096894577145576
2025-09-01T08:30:16.000Z,131,257.4800109863281,47.374202236533165,15.096875298768282
2025-09-01T08:30:22.000Z,132,273.7200012207031,47.374331234022975,15.096771363168955
2025-09-01T08:30:28.000Z,133,291.0299987792969,47.37446542829275,15.096662817522883
2025-09-01T08:30:34.000Z,133,306.55999755859375,47.37459962256253,15.096601294353604
2025-09-01T08:30:37.000Z,133,314.3599853515625,47.37465737387538,15.096545051783323
2025-09-01T08:30:40.000Z,134,321.82000732421875,47.374717304483056,15.096500376239419
2025-09-01T08:30:47.000Z,133,340.3500061035156,47.37483574077487,15.096324691548944
2025-09-01T08:30:54.000Z,132,359.2799987792969,47.37493850290775,15.096129309386015
2025-09-01T08:31:00.000Z,132,375.239990234375,47.37499566748738,15.095935184508562
2025-09-01T08:31:07.000Z,132,394.3299865722656,47.37507998943329,15.095716416835785
2025-09-01T08:31:14.000Z,130,412.3900146484375,47.37520596943796,15.095569984987378
2025-09-01T08:31:16.000Z,131,417.1499938964844,47.37522893585265,15.095518184825778
2025-09-01T08:31:18.000Z,131,421.989990234375,47.37525005824864,15.095461942255497
2025-09-01T08:31:22.000Z,131,431.5,47.37532323226333,15.095402179285884
2025-09-01T08:31:28.000Z,132,444.94000244140625,47.37543932162225,15.095352558419108
2025-09-01T08:31:30.000Z,132,448.5,47.37547092139721,15.095357168465853
2025-09-01T08:31:34.000Z,133,456.4599914550781,47.3755440954119,15.095359850674868
2025-09-01T08:31:39.000Z,136,469.5400085449219,47.37565666437149,15.095406118780375
2025-09-01T08:31:46.000Z,136,486.2900085449219,47.37579949200153,15.095468815416098
2025-09-01T08:31:52.000Z,137,504.6700134277344,47.37594458274543,15.095583982765675
2025-09-01T08:31:56.000Z,140,514.469970703125,47.376022869721055,15.09564382955432
2025-09-01T08:31:58.000Z,140,518.6900024414062,47.37605723552406,15.095667717978358
2025-09-01T08:32:05.000Z,141,536.9500122070312,47.37620542757213,15.095772491768003
2025-09-01T08:32:12.000Z,143,556.030029296875,47.37631296738982,15.095967622473836
2025-09-01T08:32:17.000Z,146,569.9199829101562,47.37638563849032,15.096117993816733
2025-09-01T08:32:19.000Z,147,575.27001953125,47.37641170620918,15.096177505329251
2025-09-01T08:32:26.000Z,149,595.5599975585938,47.376511450856924,15.096401637420058
2025-09-01T08:32:35.000Z,150,615.8200073242188,47.37660557962954,15.096631217747927
2025-09-01T08:32:36.000Z,150,617.9400024414062,47.37661136314273,15.096657956019044
2025-09-01T08:32:41.000Z,150,627.4600219726562,47.37664606422186,15.096769519150257
2025-09-01T08:32:47.000Z,150,640.260009765625,47.37671756185591,15.096898851916194
2025-09-01T08:32:53.000Z,150,652.77001953125,47.37682895734906,15.096895499154925
2025-09-01T08:32:59.000Z,150,670.1900024414062,47.37698561511934,15.096876807510853
2025-09-01T08:33:07.000Z,150,692.25,47.37717429175973,15.096804136410356
2025-09-01T08:33:15.000Z,150,712.8400268554688,47.3773555085063,15.096845207735896
2025-09-01T08:33:20.000Z,150,726.6900024414062,47.37746170721948,15.096940342336893
2025-09-01T08:33:25.000Z,149,742.6300048828125,47.37753555178642,15.09711460210383
2025-09-01T08:33:26.000Z,149,745.8800048828125,47.37753974273801,15.097157433629036
