time_s,hr_bpm,d_meter_m
2025-10-21T09:02:05.000Z,85,0.0
2025-10-21T09:02:06.000Z,79,24.239999771118164
2025-10-21T09:02:08.000Z,76,30.75
2025-10-21T09:02:09.000Z,79,38.709999084472656
2025-10-21T09:02:10.000Z,84,38.709999084472656
2025-10-21T09:02:11.000Z,89,38.709999084472656
2025-10-21T09:02:12.000Z,93,40.349998474121094
2025-10-21T09:02:13.000Z,96,40.91999816894531
2025-10-21T09:02:14.000Z,99,44.41999816894531
2025-10-21T09:02:15.000Z,99,45.09000015258789
2025-10-21T09:02:16.000Z,101,45.16999816894531
2025-10-21T09:02:17.000Z,102,46.970001220703125
2025-10-21T09:02:18.000Z,106,48.810001373291016
2025-10-21T09:02:21.000Z,110,54.18000030517578
2025-10-21T09:02:22.000Z,112,56.38999938964844
2025-10-21T09:02:25.000Z,115,64.26000213623047
2025-10-21T09:02:29.000Z,115,75.05999755859375
2025-10-21T09:02:37.000Z,118,97.1500015258789
2025-10-21T09:02:43.000Z,121,113.83999633789062
2025-10-21T09:02:44.000Z,121,116.12000274658203
2025-10-21T09:02:47.000Z,124,124.0999984741211
2025-10-21T09:02:49.000Z,127,129.58999633789062
2025-10-21T09:02:51.000Z,129,137.1999969482422
2025-10-21T09:02:54.000Z,132,144.77999877929688
2025-10-21T09:02:57.000Z,135,153.47999572753906
2025-10-21T09:02:59.000Z,136,160.24000549316406
2025-10-21T09:03:01.000Z,136,164.50999450683594
2025-10-21T09:03:03.000Z,137,168.3000030517578
2025-10-21T09:03:04.000Z,137,170.6199951171875
2025-10-21T09:03:08.000Z,140,177.6999969482422
2025-10-21T09:03:11.000Z,141,182.74000549316406
2025-10-21T09:03:17.000Z,143,200.83999633789062
2025-10-21T09:03:23.000Z,146,218.41000366210938
2025-10-21T09:03:24.000Z,145,222.0500030517578
2025-10-21T09:03:29.000Z,146,235.66000366210938
2025-10-21T09:03:36.000Z,147,257.7200012207031
2025-10-21T09:03:37.000Z,148,260.4599914550781
2025-10-21T09:03:45.000Z,148,282.07000732421875
2025-10-21T09:03:48.000Z,147,289.82000732421875
2025-10-21T09:03:56.000Z,149,311.3299865722656
2025-10-21T09:04:02.000Z,150,326.29998779296875
2025-10-21T09:04:11.000Z,151,346.1400146484375
2025-10-21T09:04:19.000Z,152,367.1000061035156
2025-10-21T09:04:24.000Z,153,380.5799865722656
2025-10-21T09:04:29.000Z,150,394.5899963378906
2025-10-21T09:04:31.000Z,151,400.6000061035156
2025-10-21T09:04:39.000Z,150,422.9700012207031
2025-10-21T09:04:42.000Z,151,430.7099914550781
2025-10-21T09:04:50.000Z,153,450.9700012207031
