time_s,hr_bpm,d_meter_m
2025-07-27T12:02:07.000Z,102,0.0
2025-07-27T12:02:11.000Z,106,0.0
2025-07-27T12:02:13.000Z,109,0.0
2025-07-27T12:02:16.000Z,112,1.7200000286102295
2025-07-27T12:02:18.000Z,115,5.150000095367432
2025-07-27T12:02:21.000Z,119,10.5
2025-07-27T12:02:23.000Z,122,12.3100004196167
2025-07-27T12:02:24.000Z,124,12.3100004196167
2025-07-27T12:02:26.000Z,127,25.43000030517578
2025-07-27T12:02:27.000Z,128,28.90999984741211
2025-07-27T12:02:29.000Z,131,32.5099983215332
2025-07-27T12:02:32.000Z,132,38.90999984741211
2025-07-27T12:02:36.000Z,136,48.439998626708984
2025-07-27T12:02:39.000Z,136,56.470001220703125
2025-07-27T12:02:43.000Z,139,66.52999877929688
2025-07-27T12:02:45.000Z,141,70.25
2025-07-27T12:02:52.000Z,143,83.98999786376953
2025-07-27T12:02:59.000Z,145,94.83999633789062
2025-07-27T12:03:01.000Z,146,96.88999938964844
2025-07-27T12:03:04.000Z,145,98.8499984741211
2025-07-27T12:03:05.000Z,145,99.98999786376953
2025-07-27T12:03:11.000Z,143,111.66999816894531
2025-07-27T12:03:19.000Z,145,133.82000732421875
2025-07-27T12:03:24.000Z,146,145.94000244140625
2025-07-27T12:03:32.000Z,147,166.52999877929688
2025-07-27T12:03:33.000Z,148,168.8000030517578
2025-07-27T12:03:41.000Z,147,190.57000732421875
2025-07-27T12:03:43.000Z,146,195.10000610351562
2025-07-27T12:03:52.000Z,144,219.49000549316406
2025-07-27T12:03:54.000Z,143,224.5
2025-07-27T12:04:03.000Z,143,246.08999633789062
2025-07-27T12:04:07.000Z,146,256.5899963378906
2025-07-27T12:04:09.000Z,146,262.25
2025-07-27T12:04:15.000Z,148,278.67999267578125
2025-07-27T12:04:19.000Z,149,289.8999938964844
2025-07-27T12:04:26.000Z,150,311.510009765625
2025-07-27T12:04:28.000Z,150,317.7300109863281
2025-07-27T12:04:35.000Z,150,337.8399963378906
2025-07-27T12:04:37.000Z,150,342.9599914550781
2025-07-27T12:04:43.000Z,149,358.3699951171875
2025-07-27T12:04:51.000Z,148,379.3800048828125
2025-07-27T12:05:00.000Z,147,401.25
2025-07-27T12:05:01.000Z,147,403.760009765625
2025-07-27T12:05:09.000Z,148,424.92999267578125
2025-07-27T12:05:10.000Z,148,427.9100036621094
2025-07-27T12:05:18.000Z,148,450.7699890136719
2025-07-27T12:05:26.000Z,147,471.95001220703125
2025-07-27T12:05:28.000Z,147,477.010009765625
2025-07-27T12:05:36.000Z,149,493.8399963378906
2025-07-27T12:05:46.000Z,148,512.7999877929688
2025-07-27T12:05:55.000Z,146,529.760009765625
2025-07-27T12:06:00.000Z,145,539.280029296875
2025-07-27T12:06:09.000Z,144,558.5999755859375
2025-07-27T12:06:17.000Z,144,576.7999877929688
2025-07-27T12:06:23.000Z,146,588.8200073242188
2025-07-27T12:06:28.000Z,145,598.5999755859375
2025-07-27T12:06:32.000Z,145,605.9199829101562
2025-07-27T12:06:40.000Z,148,619.0900268554688
2025-07-27T12:06:41.000Z,147,621.0700073242188
2025-07-27T12:06:49.000Z,148,636.280029296875
2025-07-27T12:06:56.000Z,148,649.6500244140625
2025-07-27T12:07:08.000Z,146,671.3400268554688
2025-07-27T12:07:14.000Z,146,686.8499755859375
2025-07-27T12:07:17.000Z,149,695.4299926757812
2025-07-27T12:07:20.000Z,150,703.1599731445312
2025-07-27T12:07:25.000Z,153,714.6400146484375
2025-07-27T12:07:29.000Z,154,721.760009765625
2025-07-27T12:07:40.000Z,156,742.6599731445312
2025-07-27T12:07:42.000Z,157,746.4099731445312
2025-07-27T12:07:46.000Z,157,749.1900024414062
2025-07-27T12:07:48.000Z,154,751.3499755859375
2025-07-27T12:07:56.000Z,152,766.0499877929688
2025-07-27T12:08:06.000Z,154,783.6799926757812
2025-07-27T12:08:12.000Z,153,795.760009765625
2025-07-27T12:08:21.000Z,155,809.8300170898438
2025-07-27T12:08:31.000Z,153,826.739990234375
2025-07-27T12:08:40.000Z,151,840.219970703125
2025-07-27T12:08:45.000Z,154,847.780029296875
2025-07-27T12:08:46.000Z,153,849.469970703125
2025-07-27T12:08:49.000Z,152,854.5700073242188
2025-07-27T12:08:54.000Z,151,860.510009765625
2025-07-27T12:08:55.000Z,151,862.1400146484375
2025-07-27T12:08:59.000Z,152,872.1900024414062
2025-07-27T12:09:01.000Z,151,876.9500122070312
2025-07-27T12:09:03.000Z,150,882.8699951171875
2025-07-27T12:09:05.000Z,150,886.7999877929688
2025-07-27T12:09:07.000Z,152,892.8699951171875
2025-07-27T12:09:13.000Z,153,908.0999755859375
2025-07-27T12:09:20.000Z,152,924.469970703125
2025-07-27T12:09:28.000Z,150,939.6400146484375
2025-07-27T12:09:33.000Z,150,951.0900268554688
2025-07-27T12:09:35.000Z,153,953.7100219726562
2025-07-27T12:09:39.000Z,154,964.0700073242188
2025-07-27T12:09:48.000Z,157,985.969970703125
2025-07-27T12:09:50.000Z,157,991.1199951171875
2025-07-27T12:09:54.000Z,158,1002.0399780273438
2025-07-27T12:09:57.000Z,161,1009.489990234375
2025-07-27T12:10:02.000Z,158,1017.1799926757812
2025-07-27T12:10:08.000Z,155,1032.5899658203125
2025-07-27T12:10:10.000Z,155,1036.8399658203125
2025-07-27T12:10:18.000Z,157,1057.219970703125
2025-07-27T12:10:23.000Z,160,1070.27001953125
2025-07-27T12:10:26.000Z,160,1077.9100341796875
2025-07-27T12:10:31.000Z,163,1090.5699462890625
2025-07-27T12:10:36.000Z,164,1104.2900390625
2025-07-27T12:10:42.000Z,166,1118.8199462890625
2025-07-27T12:10:47.000Z,165,1129.47998046875
2025-07-27T12:10:53.000Z,166,1143.989990234375
2025-07-27T12:10:54.000Z,166,1146.6500244140625
2025-07-27T12:10:57.000Z,165,1153.3599853515625
2025-07-27T12:10:59.000Z,164,1159.81005859375
2025-07-27T12:11:04.000Z,162,1178.31005859375
2025-07-27T12:11:08.000Z,164,1193.6099853515625
2025-07-27T12:11:13.000Z,164,1211.280029296875
2025-07-27T12:11:18.000Z,164,1223.030029296875
2025-07-27T12:11:20.000Z,164,1225.9300537109375
