time_s,hr_bpm,d_meter_m
2025-09-18T19:28:28.000Z,96,1.159999966621399
2025-09-18T19:28:31.000Z,99,2.319999933242798
2025-09-18T19:28:39.000Z,102,7.71999979019165
2025-09-18T19:28:42.000Z,107,14.59000015258789
2025-09-18T19:28:44.000Z,109,19.790000915527344
2025-09-18T19:28:46.000Z,112,25.479999542236328
2025-09-18T19:28:50.000Z,115,36.900001525878906
2025-09-18T19:28:54.000Z,117,43.58000183105469
2025-09-18T19:29:01.000Z,119,57.810001373291016
2025-09-18T19:29:09.000Z,120,74.86000061035156
2025-09-18T19:29:17.000Z,122,94.76000213623047
2025-09-18T19:29:26.000Z,123,114.2300033569336
2025-09-18T19:29:33.000Z,126,130.1999969482422
2025-09-18T19:29:34.000Z,126,132.13999938964844
2025-09-18T19:29:40.000Z,129,143.75999450683594
2025-09-18T19:29:41.000Z,130,145.5399932861328
2025-09-18T19:29:49.000Z,132,158.4499969482422
2025-09-18T19:29:54.000Z,132,167.44000244140625
2025-09-18T19:29:56.000Z,132,171.27999877929688
2025-09-18T19:30:03.000Z,131,189.30999755859375
2025-09-18T19:30:10.000Z,132,201.97000122070312
2025-09-18T19:30:11.000Z,133,205.10000610351562
2025-09-18T19:30:20.000Z,133,225.82000732421875
2025-09-18T19:30:28.000Z,134,246.02000427246094
2025-09-18T19:30:29.000Z,133,248.14999389648438
2025-09-18T19:30:36.000Z,135,266.4700012207031
2025-09-18T19:30:44.000Z,136,286.6400146484375
2025-09-18T19:30:45.000Z,136,289.5299987792969
2025-09-18T19:30:53.000Z,137,309.20001220703125
2025-09-18T19:31:01.000Z,138,329.80999755859375
2025-09-18T19:31:09.000Z,137,347.92999267578125
2025-09-18T19:31:16.000Z,136,363.0299987792969
2025-09-18T19:31:25.000Z,137,385.1300048828125
2025-09-18T19:31:26.000Z,137,387.70001220703125
2025-09-18T19:31:35.000Z,138,407.8299865722656
2025-09-18T19:31:43.000Z,135,426.54998779296875
2025-09-18T19:31:48.000Z,136,438.5400085449219
2025-09-18T19:31:56.000Z,137,452.239990234375
2025-09-18T19:32:03.000Z,137,468.239990234375
2025-09-18T19:32:11.000Z,138,483.9599914550781
2025-09-18T19:32:19.000Z,138,503.3900146484375
2025-09-18T19:32:27.000Z,139,523.8699951171875
2025-09-18T19:32:29.000Z,140,529.4299926757812
2025-09-18T19:32:35.000Z,143,543.7100219726562
2025-09-18T19:32:38.000Z,143,549.6799926757812
2025-09-18T19:32:44.000Z,143,565.25
2025-09-18T19:32:50.000Z,143,585.6500244140625
2025-09-18T19:32:51.000Z,143,589.3900146484375
2025-09-18T19:32:59.000Z,142,612.0499877929688
2025-09-18T19:33:05.000Z,143,626.22998046875
2025-09-18T19:33:12.000Z,145,645.5700073242188
2025-09-18T19:33:20.000Z,146,666.239990234375
2025-09-18T19:33:28.000Z,147,688.3699951171875
2025-09-18T19:33:33.000Z,147,701.5700073242188
2025-09-18T19:33:40.000Z,145,723.0999755859375
2025-09-18T19:33:41.000Z,145,725.72998046875
2025-09-18T19:33:48.000Z,145,741.6900024414062
2025-09-18T19:33:55.000Z,147,756.6699829101562
2025-09-18T19:34:01.000Z,147,771.9500122070312
2025-09-18T19:34:07.000Z,147,787.4000244140625
2025-09-18T19:34:16.000Z,146,809.5599975585938
2025-09-18T19:34:17.000Z,146,811.8400268554688
2025-09-18T19:34:24.000Z,145,828.3099975585938
2025-09-18T19:34:33.000Z,145,850.25
2025-09-18T19:34:40.000Z,142,867.4000244140625
2025-09-18T19:34:42.000Z,142,871.0399780273438
2025-09-18T19:34:51.000Z,144,892.0599975585938
2025-09-18T19:34:54.000Z,144,900.02001953125
2025-09-18T19:35:02.000Z,146,920.5599975585938
2025-09-18T19:35:10.000Z,145,938.239990234375
2025-09-18T19:35:18.000Z,145,957.4000244140625
2025-09-18T19:35:26.000Z,146,974.9600219726562
2025-09-18T19:35:34.000Z,146,996.0499877929688
2025-09-18T19:35:36.000Z,145,1000.469970703125
2025-09-18T19:35:44.000Z,144,1020.5
2025-09-18T19:35:53.000Z,147,1042.739990234375
2025-09-18T19:35:54.000Z,146,1045.5
2025-09-18T19:36:03.000Z,147,1067.81005859375
2025-09-18T19:36:10.000Z,146,1085.6099853515625
2025-09-18T19:36:15.000Z,149,1097.81005859375
2025-09-18T19:36:18.000Z,148,1105.7900390625
2025-09-18T19:36:26.000Z,148,1127.989990234375
2025-09-18T19:36:28.000Z,148,1134.3399658203125
2025-09-18T19:36:36.000Z,148,1156.31005859375
2025-09-18T19:36:45.000Z,149,1178.3900146484375
2025-09-18T19:36:46.000Z,149,1180.93994140625
2025-09-18T19:36:54.000Z,148,1202.93994140625
2025-09-18T19:36:55.000Z,147,1205.47998046875
2025-09-18T19:37:02.000Z,150,1223.9000244140625
2025-09-18T19:37:05.000Z,151,1232.050048828125
2025-09-18T19:37:13.000Z,153,1253.75
2025-09-18T19:37:21.000Z,153,1275.219970703125
2025-09-18T19:37:24.000Z,153,1283.56005859375
2025-09-18T19:37:32.000Z,152,1304.47998046875
2025-09-18T19:37:40.000Z,152,1326.469970703125
2025-09-18T19:37:42.000Z,151,1331.969970703125
2025-09-18T19:37:49.000Z,153,1350.02001953125
2025-09-18T19:37:57.000Z,153,1370.0400390625
2025-09-18T19:38:05.000Z,154,1392.0400390625
2025-09-18T19:38:13.000Z,153,1414.56005859375
2025-09-18T19:38:20.000Z,153,1432.6300048828125
2025-09-18T19:38:29.000Z,153,1454.6700439453125
2025-09-18T19:38:31.000Z,153,1462.6300048828125
2025-09-18T19:38:40.000Z,153,1483.3900146484375
2025-09-18T19:38:41.000Z,153,1486.31005859375
2025-09-18T19:38:49.000Z,152,1508.760009765625
2025-09-18T19:38:51.000Z,152,1513.9300537109375
2025-09-18T19:38:59.000Z,152,1535.3800048828125
2025-09-18T19:39:07.000Z,153,1556.93994140625
2025-09-18T19:39:08.000Z,154,1559.7099609375
2025-09-18T19:39:16.000Z,154,1581.449951171875
2025-09-18T19:39:18.000Z,154,1586.6099853515625
2025-09-18T19:39:26.000Z,152,1608.2900390625
2025-09-18T19:39:34.000Z,153,1629.1500244140625
2025-09-18T19:39:36.000Z,153,1634.4200439453125
2025-09-18T19:39:44.000Z,153,1655.8299560546875
2025-09-18T19:39:52.000Z,152,1676.550048828125
2025-09-18T19:40:01.000Z,151,1699.2099609375
2025-09-18T19:40:04.000Z,153,1707.0400390625
2025-09-18T19:40:13.000Z,153,1729.010009765625
2025-09-18T19:40:21.000Z,152,1749.4100341796875
2025-09-18T19:40:23.000Z,152,1753.9000244140625
2025-09-18T19:40:31.000Z,151,1774.3399658203125
2025-09-18T19:40:33.000Z,152,1778.800048828125
2025-09-18T19:40:41.000Z,151,1801.1500244140625
2025-09-18T19:40:49.000Z,148,1821.3699951171875
2025-09-18T19:40:58.000Z,148,1843.780029296875
2025-09-18T19:41:06.000Z,149,1865.27001953125
2025-09-18T19:41:07.000Z,149,1868.0
2025-09-18T19:41:14.000Z,152,1885.75
2025-09-18T19:41:18.000Z,152,1896.75
2025-09-18T19:41:26.000Z,153,1918.18994140625
2025-09-18T19:41:28.000Z,153,1923.52001953125
2025-09-18T19:41:35.000Z,153,1942.3900146484375
2025-09-18T19:41:43.000Z,155,1964.6199951171875
2025-09-18T19:41:44.000Z,155,1967.239990234375
2025-09-18T19:41:52.000Z,156,1989.050048828125
2025-09-18T19:41:53.000Z,156,1991.3199462890625
2025-09-18T19:41:57.000Z,156,2001.9599609375
2025-09-18T19:42:01.000Z,157,2014.6800537109375
2025-09-18T19:42:08.000Z,160,2035.4200439453125
2025-09-18T19:42:10.000Z,160,2040.9599609375
2025-09-18T19:42:17.000Z,161,2063.39990234375
2025-09-18T19:42:19.000Z,162,2069.860107421875
2025-09-18T19:42:26.000Z,161,2092.419921875
2025-09-18T19:42:32.000Z,164,2111.72998046875
2025-09-18T19:42:35.000Z,164,2120.800048828125
2025-09-18T19:42:42.000Z,165,2142.800048828125
2025-09-18T19:42:44.000Z,166,2147.760009765625
2025-09-18T19:42:52.000Z,166,2170.830078125
2025-09-18T19:42:54.000Z,166,2177.320068359375
2025-09-18T19:43:01.000Z,166,2199.070068359375
2025-09-18T19:43:02.000Z,167,2202.169921875
2025-09-18T19:43:09.000Z,166,2223.159912109375
2025-09-18T19:43:11.000Z,166,2229.070068359375
2025-09-18T19:43:18.000Z,166,2250.81005859375
2025-09-18T19:43:20.000Z,166,2256.989990234375
2025-09-18T19:43:26.000Z,166,2277.35009765625
2025-09-18T19:43:29.000Z,167,2286.510009765625
2025-09-18T19:43:30.000Z,166,2289.010009765625
2025-09-18T19:43:36.000Z,167,2309.800048828125
2025-09-18T19:43:38.000Z,168,2316.89990234375
2025-09-18T19:43:44.000Z,169,2338.989990234375
2025-09-18T19:43:48.000Z,171,2353.659912109375
2025-09-18T19:43:54.000Z,173,2375.64990234375
2025-09-18T19:43:57.000Z,174,2386.429931640625
2025-09-18T19:44:03.000Z,174,2407.7900390625
2025-09-18T19:44:06.000Z,175,2418.10009765625
2025-09-18T19:44:12.000Z,175,2438.669921875
2025-09-18T19:44:18.000Z,175,2457.570068359375
2025-09-18T19:44:25.000Z,175,2480.35009765625
2025-09-18T19:44:30.000Z,174,2495.0
2025-09-18T19:44:30.000Z,174,2495.0
2025-09-18T19:44:34.000Z,173,2505.169921875
2025-09-18T19:44:43.000Z,170,2526.989990234375
2025-09-18T19:44:45.000Z,171,2532.14990234375
2025-09-18T19:44:50.000Z,168,2544.159912109375
2025-09-18T19:44:51.000Z,168,2546.81005859375
2025-09-18T19:44:58.000Z,167,2564.409912109375
2025-09-18T19:45:05.000Z,166,2583.5400390625
2025-09-18T19:45:13.000Z,167,2606.159912109375
2025-09-18T19:45:15.000Z,167,2610.909912109375
2025-09-18T19:45:21.000Z,169,2631.669921875
2025-09-18T19:45:25.000Z,167,2646.2099609375
2025-09-18T19:45:30.000Z,167,2662.300048828125
2025-09-18T19:45:30.000Z,167,2662.300048828125
2025-09-18T19:45:33.000Z,169,2671.989990234375
2025-09-18T19:45:39.000Z,169,2692.179931640625
2025-09-18T19:45:45.000Z,170,2712.840087890625
2025-09-18T19:45:52.000Z,171,2736.010009765625
2025-09-18T19:45:54.000Z,171,2743.070068359375
2025-09-18T19:46:01.000Z,172,2765.919921875
2025-09-18T19:46:02.000Z,172,2768.830078125
2025-09-18T19:46:08.000Z,171,2789.239990234375
2025-09-18T19:46:14.000Z,171,2809.85009765625
2025-09-18T19:46:18.000Z,169,2822.830078125
2025-09-18T19:46:25.000Z,170,2843.7900390625
2025-09-18T19:46:26.000Z,170,2847.360107421875
2025-09-18T19:46:30.000Z,171,2858.75
2025-09-18T19:46:30.000Z,171,2858.75
2025-09-18T19:46:35.000Z,170,2871.35009765625
2025-09-18T19:46:43.000Z,168,2891.409912109375
2025-09-18T19:46:50.000Z,167,2906.7900390625
2025-09-18T19:46:58.000Z,166,2926.989990234375
2025-09-18T19:47:01.000Z,166,2934.679931640625
2025-09-18T19:47:09.000Z,166,2954.1201171875
2025-09-18T19:47:15.000Z,163,2971.949951171875
2025-09-18T19:47:20.000Z,164,2987.68994140625
2025-09-18T19:47:28.000Z,166,3010.550048828125
2025-09-18T19:47:30.000Z,166,3017.0
2025-09-18T19:47:30.000Z,166,3017.0
2025-09-18T19:47:31.000Z,166,3020.27001953125
2025-09-18T19:47:38.000Z,167,3042.39990234375
2025-09-18T19:47:43.000Z,169,3059.929931640625
2025-09-18T19:47:49.000Z,169,3081.090087890625
2025-09-18T19:47:50.000Z,169,3084.719970703125
2025-09-18T19:47:55.000Z,172,3102.340087890625
2025-09-18T19:47:59.000Z,173,3116.070068359375
2025-09-18T19:48:05.000Z,174,3138.31005859375
2025-09-18T19:48:06.000Z,174,3141.75
2025-09-18T19:48:13.000Z,175,3163.989990234375
2025-09-18T19:48:14.000Z,176,3168.0400390625
2025-09-18T19:48:21.000Z,175,3191.780029296875
2025-09-18T19:48:24.000Z,175,3200.889892578125
2025-09-18T19:48:30.000Z,175,3219.25
2025-09-18T19:48:30.000Z,175,3219.25
2025-09-18T19:48:35.000Z,172,3232.610107421875
2025-09-18T19:48:36.000Z,173,3235.179931640625
2025-09-18T19:48:44.000Z,172,3255.3701171875
2025-09-18T19:48:46.000Z,171,3261.2099609375
2025-09-18T19:48:54.000Z,168,3282.530029296875
2025-09-18T19:49:02.000Z,171,3301.10009765625
2025-09-18T19:49:03.000Z,170,3304.25
2025-09-18T19:49:08.000Z,167,3315.949951171875
2025-09-18T19:49:11.000Z,167,3324.10009765625
2025-09-18T19:49:19.000Z,168,3346.260009765625
2025-09-18T19:49:20.000Z,168,3348.860107421875
2025-09-18T19:49:27.000Z,165,3367.699951171875
2025-09-18T19:49:28.000Z,165,3369.860107421875
2025-09-18T19:49:30.000Z,167,3375.860107421875
2025-09-18T19:49:30.000Z,167,3375.860107421875
2025-09-18T19:49:35.000Z,167,3393.52001953125
2025-09-18T19:49:41.000Z,170,3414.159912109375
2025-09-18T19:49:44.000Z,170,3425.5
2025-09-18T19:49:50.000Z,172,3447.1201171875
2025-09-18T19:49:51.000Z,171,3450.6201171875
2025-09-18T19:49:52.000Z,171,3453.72998046875
2025-09-18T19:49:57.000Z,172,3472.929931640625
2025-09-18T19:50:02.000Z,173,3491.27001953125
2025-09-18T19:50:09.000Z,174,3514.929931640625
2025-09-18T19:50:12.000Z,175,3525.25
2025-09-18T19:50:18.000Z,175,3545.840087890625
2025-09-18T19:50:20.000Z,175,3551.22998046875
2025-09-18T19:50:24.000Z,176,3563.780029296875
2025-09-18T19:50:26.000Z,177,3570.260009765625
2025-09-18T19:50:28.000Z,177,3576.449951171875
2025-09-18T19:50:30.000Z,177,3584.610107421875
2025-09-18T19:50:30.000Z,177,3584.610107421875
2025-09-18T19:50:34.000Z,177,3598.06005859375
2025-09-18T19:50:39.000Z,174,3612.68994140625
2025-09-18T19:50:41.000Z,174,3619.050048828125
2025-09-18T19:50:49.000Z,173,3640.550048828125
2025-09-18T19:50:51.000Z,173,3646.89990234375
2025-09-18T19:50:58.000Z,170,3665.81005859375
2025-09-18T19:51:00.000Z,171,3671.419921875
2025-09-18T19:51:08.000Z,172,3693.219970703125
2025-09-18T19:51:12.000Z,171,3704.719970703125
2025-09-18T19:51:20.000Z,171,3726.489990234375
2025-09-18T19:51:22.000Z,171,3731.610107421875
2025-09-18T19:51:29.000Z,173,3753.47998046875
2025-09-18T19:51:30.000Z,174,3757.489990234375
2025-09-18T19:51:30.000Z,174,3757.489990234375
2025-09-18T19:51:33.000Z,173,3769.199951171875
2025-09-18T19:51:38.000Z,176,3787.47998046875
2025-09-18T19:51:39.000Z,175,3790.5400390625
2025-09-18T19:51:45.000Z,176,3810.89990234375
2025-09-18T19:51:47.000Z,176,3817.070068359375
2025-09-18T19:51:52.000Z,177,3834.4599609375
2025-09-18T19:51:57.000Z,177,3850.9599609375
2025-09-18T19:52:03.000Z,176,3871.5
2025-09-18T19:52:07.000Z,177,3885.64990234375
2025-09-18T19:52:13.000Z,176,3905.72998046875
2025-09-18T19:52:19.000Z,179,3926.330078125
2025-09-18T19:52:23.000Z,179,3938.1201171875
2025-09-18T19:52:30.000Z,177,3958.320068359375
2025-09-18T19:52:30.000Z,177,3958.320068359375
2025-09-18T19:52:33.000Z,177,3966.18994140625
2025-09-18T19:52:40.000Z,176,3980.949951171875
2025-09-18T19:52:50.000Z,174,4000.35009765625
2025-09-18T19:52:57.000Z,171,4016.820068359375
2025-09-18T19:52:58.000Z,172,4019.080078125
2025-09-18T19:53:02.000Z,169,4028.320068359375
2025-09-18T19:53:04.000Z,170,4032.31005859375
2025-09-18T19:53:13.000Z,168,4053.1201171875
2025-09-18T19:53:16.000Z,165,4060.3701171875
2025-09-18T19:53:23.000Z,164,4077.280029296875
2025-09-18T19:53:30.000Z,164,4096.60986328125
2025-09-18T19:53:30.000Z,164,4096.60986328125
2025-09-18T19:53:31.000Z,165,4099.919921875
2025-09-18T19:53:37.000Z,167,4120.08984375
2025-09-18T19:53:41.000Z,168,4133.259765625
2025-09-18T19:53:46.000Z,171,4151.39013671875
2025-09-18T19:53:48.000Z,170,4158.31005859375
2025-09-18T19:53:53.000Z,173,4176.27978515625
2025-09-18T19:53:54.000Z,173,4179.919921875
2025-09-18T19:54:00.000Z,174,4198.3798828125
2025-09-18T19:54:07.000Z,174,4219.259765625
2025-09-18T19:54:08.000Z,174,4222.8701171875
2025-09-18T19:54:10.000Z,177,4229.10986328125
2025-09-18T19:54:15.000Z,176,4243.830078125
2025-09-18T19:54:22.000Z,176,4266.18017578125
2025-09-18T19:54:24.000Z,177,4273.2998046875
2025-09-18T19:54:30.000Z,177,4294.22998046875
2025-09-18T19:54:31.000Z,177,4297.75
2025-09-18T19:54:31.000Z,177,4297.75
2025-09-18T19:54:32.000Z,178,4299.81005859375
2025-09-18T19:54:38.000Z,176,4314.330078125
2025-09-18T19:54:47.000Z,174,4334.56005859375
2025-09-18T19:54:48.000Z,173,4336.41015625
2025-09-18T19:54:57.000Z,172,4355.18994140625
2025-09-18T19:55:05.000Z,168,4373.64013671875
2025-09-18T19:55:06.000Z,168,4375.169921875
2025-09-18T19:55:11.000Z,165,4385.56982421875
2025-09-18T19:55:16.000Z,164,4395.0
2025-09-18T19:55:21.000Z,161,4405.490234375
2025-09-18T19:55:27.000Z,160,4418.97998046875
2025-09-18T19:55:31.000Z,159,4426.77001953125
2025-09-18T19:55:31.000Z,159,4426.77001953125
2025-09-18T19:55:37.000Z,161,4444.41015625
2025-09-18T19:55:40.000Z,165,4458.919921875
2025-09-18T19:55:43.000Z,168,4472.77001953125
2025-09-18T19:55:46.000Z,171,4487.14990234375
2025-09-18T19:55:48.000Z,175,4495.85986328125
2025-09-18T19:55:52.000Z,177,4512.0498046875
2025-09-18T19:55:58.000Z,179,4534.06005859375
