time_s,hr_bpm,d_meter_m,latitude,longitude
2025-05-13T18:06:35.000Z,97,7.849999904632568,-20.28131525963545,-40.28834966942668
2025-05-13T18:06:39.000Z,104,19.6299991607666,-20.281197912991047,-40.28834422118962
2025-05-13T18:06:40.000Z,109,22.299999237060547,-20.281170839443803,-40.28834723867476
2025-05-13T18:06:42.000Z,112,28.1299991607666,-20.281116776168346,-40.28834388591349
2025-05-13T18:06:43.000Z,115,30.940000534057617,-20.28109054081142,-40.28834237717092
2025-05-13T18:06:46.000Z,118,38.439998626708984,-20.281023737043142,-40.2883243560791
2025-05-13T18:06:48.000Z,120,44.5099983215332,-20.28096506372094,-40.28831924311817
2025-05-13T18:06:49.000Z,123,47.439998626708984,-20.28094000183046,-40.28830926865339
2025-05-13T18:06:52.000Z,126,57.7400016784668,-20.28088442981243,-40.28822645545006
2025-05-13T18:06:55.000Z,129,67.69999694824219,-20.280854254961014,-40.28813408687711
2025-05-13T18:07:00.000Z,131,75.66999816894531,-20.280836820602417,-40.288059236481786
2025-05-13T18:07:01.000Z,132,75.69999694824219,-20.2808394189924,-40.28805814683437
2025-05-13T18:07:09.000Z,129,75.69999694824219,-20.280843023210764,-40.28809117153287
2025-05-13T18:07:12.000Z,126,78.83000183105469,-20.280827432870865,-40.28806619346142
2025-05-13T18:07:13.000Z,126,81.1500015258789,-20.280812764540315,-40.288049848750234
2025-05-13T18:07:16.000Z,125,89.13999938964844,-20.28075006790459,-40.288011794909835
2025-05-13T18:07:20.000Z,125,99.94000244140625,-20.280666751787066,-40.287958569824696
2025-05-13T18:07:28.000Z,129,122.04000091552734,-20.280481511726975,-40.28787952847779
2025-05-13T18:07:33.000Z,132,136.72000122070312,-20.280363243073225,-40.28781607747078
2025-05-13T18:07:39.000Z,132,154.05999755859375,-20.280221588909626,-40.287744998931885
2025-05-13T18:07:46.000Z,134,171.86000061035156,-20.280066272243857,-40.28769881464541
2025-05-13T18:07:50.000Z,137,181.3300018310547,-20.279982034116983,-40.287718093022704
2025-05-13T18:07:52.000Z,136,186.22000122070312,-20.279937693849206,-40.28772220015526
2025-05-13T18:07:57.000Z,139,199.35000610351562,-20.279821939766407,-40.287702921777964
2025-05-13T18:07:58.000Z,138,202.19000244140625,-20.279800733551383,-40.28768758289516
2025-05-13T18:08:03.000Z,141,218.50999450683594,-20.27966226451099,-40.28762061148882
2025-05-13T18:08:07.000Z,139,227.00999450683594,-20.279598645865917,-40.28757065534592
2025-05-13T18:08:12.000Z,141,242.63999938964844,-20.27949085459113,-40.28747292235494
2025-05-13T18:08:19.000Z,143,265.75,-20.279357247054577,-40.28730260208249
2025-05-13T18:08:21.000Z,143,273.3999938964844,-20.27931969612837,-40.287240324541926
2025-05-13T18:08:27.000Z,143,294.3900146484375,-20.279231099411845,-40.28705961070955
2025-05-13T18:08:28.000Z,143,296.57000732421875,-20.279219951480627,-40.28704167343676
2025-05-13T18:08:35.000Z,146,317.6099853515625,-20.279101263731718,-40.286882584914565
2025-05-13T18:08:37.000Z,145,322.9700012207031,-20.279057761654258,-40.286858612671494
2025-05-13T18:08:43.000Z,146,339.3800048828125,-20.278941253200173,-40.28676054440439
2025-05-13T18:08:50.000Z,148,360.9700012207031,-20.278796665370464,-40.286622578278184
2025-05-13T18:08:51.000Z,148,363.9800109863281,-20.27877696789801,-40.2866027969867
2025-05-13T18:08:58.000Z,151,383.8999938964844,-20.278633553534746,-40.2864886354655
2025-05-13T18:08:59.000Z,151,386.8299865722656,-20.278611928224564,-40.286472626030445
2025-05-13T18:09:03.000Z,154,398.8299865722656,-20.278517296537757,-40.286417389288545
2025-05-13T18:09:06.000Z,155,406.2699890136719,-20.27846708893776,-40.28636986389756
2025-05-13T18:09:12.000Z,155,422.989990234375,-20.27835871092975,-40.28625687584281
2025-05-13T18:09:20.000Z,156,445.6300048828125,-20.27823105454445,-40.28608152642846
2025-05-13T18:09:21.000Z,157,448.70001220703125,-20.278211189433932,-40.28606107458472
2025-05-13T18:09:29.000Z,157,470.8699951171875,-20.278057297691703,-40.285926880314946
2025-05-13T18:09:36.000Z,156,491.79998779296875,-20.277889827266335,-40.28583417646587
2025-05-13T18:09:42.000Z,156,510.5799865722656,-20.277765188366175,-40.28571448288858
2025-05-13T18:09:50.000Z,154,532.6400146484375,-20.277627389878035,-40.2855631057173
2025-05-13T18:09:56.000Z,154,554.3800048828125,-20.277546672150493,-40.28537233360112
2025-05-13T18:09:58.000Z,153,560.4099731445312,-20.27751473709941,-40.28532514348626
2025-05-13T18:10:01.000Z,156,567.6099853515625,-20.277467127889395,-40.28527803719044
2025-05-13T18:10:05.000Z,155,578.3800048828125,-20.27738439850509,-40.28522204607725
