time_s,hr_bpm,d_meter_m
2025-10-06T09:25:07.000Z,106,0.0
2025-10-06T09:25:09.000Z,105,16.030000686645508
2025-10-06T09:25:13.000Z,106,31.75
2025-10-06T09:25:16.000Z,107,39.189998626708984
2025-10-06T09:25:19.000Z,108,42.31999969482422
2025-10-06T09:25:23.000Z,110,48.4900016784668
2025-10-06T09:25:25.000Z,111,52.4900016784668
2025-10-06T09:25:28.000Z,113,64.94000244140625
2025-10-06T09:25:31.000Z,114,70.01000213623047
2025-10-06T09:25:32.000Z,116,72.11000061035156
2025-10-06T09:25:33.000Z,116,73.83000183105469
2025-10-06T09:25:37.000Z,118,83.95999908447266
2025-10-06T09:25:40.000Z,121,94.33999633789062
2025-10-06T09:25:42.000Z,123,102.66000366210938
2025-10-06T09:25:46.000Z,125,115.69000244140625
2025-10-06T09:25:49.000Z,128,122.72000122070312
2025-10-06T09:25:50.000Z,128,124.4000015258789
2025-10-06T09:25:53.000Z,130,129.22999572753906
2025-10-06T09:25:55.000Z,130,134.36000061035156
2025-10-06T09:26:00.000Z,133,147.88999938964844
2025-10-06T09:26:03.000Z,135,160.77000427246094
2025-10-06T09:26:11.000Z,135,184.2100067138672
2025-10-06T09:26:12.000Z,135,186.6999969482422
2025-10-06T09:26:14.000Z,133,192.13999938964844
2025-10-06T09:26:17.000Z,135,200.49000549316406
2025-10-06T09:26:25.000Z,137,221.36000061035156
2025-10-06T09:26:27.000Z,137,226.30999755859375
2025-10-06T09:26:35.000Z,138,247.47000122070312
2025-10-06T09:26:36.000Z,138,250.14999389648438
2025-10-06T09:26:38.000Z,141,254.92999267578125
2025-10-06T09:26:42.000Z,144,264.45001220703125
2025-10-06T09:26:44.000Z,145,269.32000732421875
2025-10-06T09:26:46.000Z,145,273.54998779296875
2025-10-06T09:26:50.000Z,144,281.5799865722656
2025-10-06T09:26:52.000Z,144,285.0199890136719
2025-10-06T09:26:55.000Z,147,294.3500061035156
2025-10-06T09:26:58.000Z,146,302.4700012207031
2025-10-06T09:26:59.000Z,144,305.4200134277344
2025-10-06T09:27:03.000Z,145,317.8999938964844
2025-10-06T09:27:04.000Z,144,320.3500061035156
2025-10-06T09:27:07.000Z,144,330.0799865722656
2025-10-06T09:27:10.000Z,144,340.0199890136719
2025-10-06T09:27:13.000Z,143,344.2900085449219
2025-10-06T09:27:17.000Z,142,357.75
2025-10-06T09:27:22.000Z,142,375.7900085449219
2025-10-06T09:27:24.000Z,141,380.3999938964844
2025-10-06T09:27:25.000Z,140,384.6300048828125
2025-10-06T09:27:30.000Z,142,401.5
2025-10-06T09:27:37.000Z,143,419.6300048828125
2025-10-06T09:27:40.000Z,141,420.8299865722656
2025-10-06T09:27:42.000Z,142,423.260009765625
2025-10-06T09:27:48.000Z,144,434.1600036621094
2025-10-06T09:27:54.000Z,144,447.57000732421875
2025-10-06T09:27:57.000Z,147,460.5400085449219
2025-10-06T09:27:58.000Z,147,462.489990234375
2025-10-06T09:28:03.000Z,149,471.8900146484375
2025-10-06T09:28:04.000Z,148,475.6000061035156
2025-10-06T09:28:06.000Z,146,482.1700134277344
2025-10-06T09:28:09.000Z,147,495.0
2025-10-06T09:28:12.000Z,148,504.1199951171875
2025-10-06T09:28:14.000Z,151,506.1600036621094
2025-10-06T09:28:15.000Z,150,508.5
2025-10-06T09:28:17.000Z,153,516.6599731445312
2025-10-06T09:28:19.000Z,152,519.9000244140625
2025-10-06T09:28:24.000Z,153,530.5599975585938
2025-10-06T09:28:29.000Z,154,545.5700073242188
2025-10-06T09:28:30.000Z,152,549.8300170898438
2025-10-06T09:28:34.000Z,153,562.1799926757812
2025-10-06T09:28:36.000Z,150,566.4000244140625
2025-10-06T09:28:39.000Z,151,574.8800048828125
2025-10-06T09:28:42.000Z,148,580.8200073242188
2025-10-06T09:28:43.000Z,149,583.739990234375
2025-10-06T09:28:48.000Z,145,600.5
2025-10-06T09:28:52.000Z,144,612.4000244140625
2025-10-06T09:28:56.000Z,142,622.1300048828125
2025-10-06T09:29:00.000Z,141,627.3599853515625
2025-10-06T09:29:05.000Z,141,637.719970703125
2025-10-06T09:29:08.000Z,141,641.8200073242188
2025-10-06T09:29:10.000Z,140,644.1900024414062
2025-10-06T09:29:11.000Z,138,644.8900146484375
2025-10-06T09:29:13.000Z,137,648.9099731445312
2025-10-06T09:29:17.000Z,137,658.0399780273438
