time_s,hr_bpm,d_meter_m,latitude,longitude
2025-09-21T15:56:37.000Z,133,0.0,-20.298970229923725,-40.29089391231537
2025-09-21T15:56:44.000Z,135,10.989999771118164,-20.299064945429564,-40.290938168764114
2025-09-21T15:56:47.000Z,139,23.09000015258789,-20.299165695905685,-40.29098108410835
2025-09-21T15:56:50.000Z,139,30.25,-20.29923132620752,-40.290977815166116
2025-09-21T15:56:52.000Z,142,34.7599983215332,-20.29927147552371,-40.290985107421875
2025-09-21T15:56:57.000Z,145,49.08000183105469,-20.299399718642235,-40.29100405052304
2025-09-21T15:57:00.000Z,147,57.16999816894531,-20.29947171919048,-40.29101679101586
2025-09-21T15:57:03.000Z,150,65.29000091552734,-20.29954455792904,-40.29102584347129
2025-09-21T15:57:08.000Z,153,80.19999694824219,-20.29967808164656,-40.29104579240084
2025-09-21T15:57:09.000Z,155,83.27999877929688,-20.299705658107996,-40.29104989953339
2025-09-21T15:57:16.000Z,158,101.70999908447266,-20.299871200695634,-40.29106456786394
2025-09-21T15:57:19.000Z,160,107.63999938964844,-20.29992467723787,-40.29106934554875
2025-09-21T15:57:28.000Z,161,128.8699951171875,-20.300115616992116,-40.2910668309778
2025-09-21T15:57:30.000Z,162,132.75,-20.3001509886235,-40.29106934554875
2025-09-21T15:57:37.000Z,163,147.5800018310547,-20.300283087417483,-40.29108602553606
2025-09-21T15:57:45.000Z,165,167.8699951171875,-20.300465561449528,-40.291107315570116
2025-09-21T15:57:46.000Z,165,170.00999450683594,-20.30048467218876,-40.29110421426594
2025-09-21T15:57:53.000Z,166,186.55999755859375,-20.300629762932658,-40.291067669168115
2025-09-21T15:58:00.000Z,166,201.22999572753906,-20.300758006051183,-40.291038919240236
2025-09-21T15:58:08.000Z,168,221.39999389648438,-20.30093478038907,-40.290999272838235
2025-09-21T15:58:15.000Z,169,238.60000610351562,-20.30107702128589,-40.29094294644892
2025-09-21T15:58:21.000Z,170,254.77000427246094,-20.301219429820776,-40.29091092757881
2025-09-21T15:58:29.000Z,172,276.5199890136719,-20.301411040127277,-40.290873209014535
2025-09-21T15:58:37.000Z,171,297.20001220703125,-20.301592592149973,-40.29082769528031
2025-09-21T15:58:40.000Z,172,304.989990234375,-20.301659647375345,-40.29080565087497
2025-09-21T15:58:47.000Z,171,325.92999267578125,-20.30183340422809,-40.29072836972773
2025-09-21T15:58:48.000Z,171,328.25,-20.30185393989086,-40.29072401113808
2025-09-21T15:58:56.000Z,173,349.05999755859375,-20.30204043723643,-40.29070146381855
2025-09-21T15:59:03.000Z,173,369.510009765625,-20.302210422232747,-40.29063005000353
2025-09-21T15:59:10.000Z,174,390.510009765625,-20.302398009225726,-40.2906040661037
2025-09-21T15:59:11.000Z,174,393.7200012207031,-20.302426340058446,-40.290597109124064
2025-09-21T15:59:18.000Z,176,416.4100036621094,-20.302614765241742,-40.290512368083
2025-09-21T15:59:19.000Z,176,419.4599914550781,-20.302640330046415,-40.290501387789845
2025-09-21T15:59:26.000Z,175,441.4100036621094,-20.302821965888143,-40.29042645357549
2025-09-21T15:59:27.000Z,175,444.1099853515625,-20.302845016121864,-40.290434919297695
2025-09-21T15:59:32.000Z,176,457.3800048828125,-20.302962446585298,-40.290452940389514
2025-09-21T15:59:37.000Z,177,472.760009765625,-20.303066549822688,-40.29054279439151
2025-09-21T15:59:44.000Z,178,492.7799987792969,-20.303198480978608,-40.29067263007164
2025-09-21T15:59:45.000Z,178,495.1199951171875,-20.303214406594634,-40.29068780131638
2025-09-21T15:59:51.000Z,176,504.0400085449219,-20.303266877308488,-40.29075225815177
2025-09-21T15:59:58.000Z,174,513.1400146484375,-20.30332898721099,-40.29081059619784
2025-09-21T16:00:04.000Z,171,521.97998046875,-20.303398724645376,-40.290851248428226
2025-09-21T16:00:08.000Z,171,527.27001953125,-20.303438706323504,-40.2908784057945
2025-09-21T16:00:15.000Z,171,543.489990234375,-20.303556555882096,-40.29097102582455
2025-09-21T16:00:21.000Z,171,560.0800170898438,-20.303692258894444,-40.29103925451636
2025-09-21T16:00:29.000Z,169,581.4199829101562,-20.303875487297773,-40.29110178351402
2025-09-21T16:00:34.000Z,170,594.1900024414062,-20.30397891998291,-40.29115199111402
2025-09-21T16:00:40.000Z,172,609.9199829101562,-20.304112443700433,-40.29120094142854
2025-09-21T16:00:41.000Z,172,612.219970703125,-20.304133147001266,-40.291204545646906
2025-09-21T16:00:45.000Z,173,622.1099853515625,-20.304219648241997,-40.2912288531661
