time_s,hr_bpm,d_meter_m,latitude,longitude
2025-09-06T08:24:18.000Z,87,0.0,47.37205286510289,15.097904177382588
2025-09-06T08:24:22.000Z,92,0.10000000149011612,47.372065018862486,15.097915912047029
2025-09-06T08:24:23.000Z,92,0.4000000059604645,47.37207314930856,15.097919767722487
2025-09-06T08:24:27.000Z,94,7.590000152587891,47.37213768996298,15.097926976159215
2025-09-06T08:24:30.000Z,96,15.420000076293945,47.372208097949624,15.097926389425993
2025-09-06T08:24:34.000Z,100,26.729999542236328,47.37230868078768,15.09790568612516
2025-09-06T08:24:35.000Z,101,29.100000381469727,47.37232703715563,15.097883557900786
2025-09-06T08:24:37.000Z,105,32.959999084472656,47.37235796637833,15.09784466587007
2025-09-06T08:24:39.000Z,109,37.470001220703125,47.37239400856197,15.097814239561558
2025-09-06T08:24:42.000Z,111,42.18000030517578,47.37243357114494,15.097780376672745
2025-09-06T08:24:50.000Z,112,58.08000183105469,47.37257497385144,15.097739975899458
2025-09-06T08:24:57.000Z,115,72.9800033569336,47.372688464820385,15.097618019208312
2025-09-06T08:24:59.000Z,118,76.05000305175781,47.37271260470152,15.097595304250717
2025-09-06T08:25:03.000Z,121,84.66000366210938,47.372790137305856,15.097577786073089
2025-09-06T08:25:05.000Z,121,89.08000183105469,47.37283078953624,15.097566721960902
2025-09-06T08:25:08.000Z,123,92.8499984741211,47.37286305986345,15.097546437755227
2025-09-06T08:25:10.000Z,125,97.12999725341797,47.37290161661804,15.097542582079768
2025-09-06T08:25:18.000Z,127,114.77999877929688,47.37304888665676,15.097450632601976
2025-09-06T08:25:24.000Z,127,127.87999725341797,47.37316271290183,15.097415680065751
2025-09-06T08:25:33.000Z,126,146.02000427246094,47.373324148356915,15.097372345626354
2025-09-06T08:25:43.000Z,127,166.13999938964844,47.37350226379931,15.097328089177608
2025-09-06T08:25:45.000Z,127,169.88999938964844,47.373535791411996,15.097333788871765
2025-09-06T08:25:48.000Z,127,174.08999633789062,47.37357317470014,15.097341081127524
2025-09-06T08:25:54.000Z,126,184.30999755859375,47.373662358149886,15.097321216017008
2025-09-06T08:26:00.000Z,129,198.66000366210938,47.373776687309146,15.097222058102489
2025-09-06T08:26:01.000Z,129,201.4499969482422,47.37380116246641,15.097213592380285
2025-09-06T08:26:07.000Z,132,214.77000427246094,47.373917335644364,15.097165564075112
2025-09-06T08:26:09.000Z,134,219.6699981689453,47.37396058626473,15.09715324267745
2025-09-06T08:26:10.000Z,134,221.58999633789062,47.373976930975914,15.097142262384295
2025-09-06T08:26:13.000Z,134,229.14999389648438,47.37403443083167,15.097089288756251
2025-09-06T08:26:20.000Z,134,248.07000732421875,47.374186646193266,15.09698468260467
2025-09-06T08:26:26.000Z,136,262.5799865722656,47.37429921515286,15.096895080059767
2025-09-06T08:26:33.000Z,136,282.2300109863281,47.37445109523833,15.096761472523212
2025-09-06T08:26:41.000Z,138,303.6099853515625,47.374617056921124,15.096619734540582
2025-09-06T08:26:43.000Z,137,309.75,47.37467061728239,15.09659961797297
2025-09-06T08:26:49.000Z,136,325.92999267578125,47.374786119908094,15.09647355414927
2025-09-06T08:26:55.000Z,139,342.19000244140625,47.37490229308605,15.096344389021397
2025-09-06T08:26:56.000Z,139,344.6300048828125,47.374916542321444,15.09631966240704
2025-09-06T08:26:59.000Z,136,352.94000244140625,47.37494898028672,15.096218660473824
2025-09-06T08:27:03.000Z,136,366.739990234375,47.374953255057335,15.096031660214067
2025-09-06T08:27:10.000Z,138,388.32000732421875,47.37503900192678,15.095777940005064
2025-09-06T08:27:16.000Z,136,404.4700012207031,47.375102788209915,15.095585323870182
2025-09-06T08:27:18.000Z,136,408.8399963378906,47.37509683705866,15.095531428232789
2025-09-06T08:27:20.000Z,137,413.44000244140625,47.37506439909339,15.09549387730658
2025-09-06T08:27:21.000Z,137,415.70001220703125,47.37504394724965,15.095500079914927
2025-09-06T08:27:24.000Z,139,424.5799865722656,47.37497353926301,15.09556520730257
2025-09-06T08:27:31.000Z,141,444.9599914550781,47.37479944713414,15.0956517085433
2025-09-06T08:27:33.000Z,143,449.2799987792969,47.374761225655675,15.09566344320774
2025-09-06T08:27:40.000Z,142,467.3399963378906,47.37460305914283,15.095709208399057
2025-09-06T08:27:46.000Z,143,481.82000732421875,47.37447900697589,15.095767127349973
2025-09-06T08:27:53.000Z,145,500.3900146484375,47.374317571520805,15.095831584185362
2025-09-06T08:27:59.000Z,149,517.9299926757812,47.37416275776923,15.095880785956979
2025-09-06T08:28:04.000Z,151,531.4600219726562,47.37404742278159,15.095938621088862
2025-09-06T08:28:11.000Z,153,550.7899780273438,47.37388062290847,15.09601330384612
2025-09-06T08:28:19.000Z,153,571.489990234375,47.373713655397296,15.096130315214396
2025-09-06T08:28:27.000Z,153,592.219970703125,47.373546436429024,15.096251601353288
2025-09-06T08:28:28.000Z,154,595.0499877929688,47.37352263182402,15.096264677122235
2025-09-06T08:28:33.000Z,157,608.5900268554688,47.3734076321125,15.096324104815722
2025-09-06T08:28:39.000Z,158,625.8699951171875,47.37325876951218,15.09639292024076
2025-09-06T08:28:47.000Z,158,646.9000244140625,47.37307813949883,15.096475314348936
2025-09-06T08:28:50.000Z,157,654.8400268554688,47.37301209010184,15.096516804769635
2025-09-06T08:28:58.000Z,156,676.1300048828125,47.37283204682171,15.096613364294171
2025-09-06T08:29:00.000Z,156,680.4600219726562,47.37279441207647,15.096628535538912
2025-09-06T08:29:08.000Z,156,700.5499877929688,47.372627444565296,15.096728196367621
2025-09-06T08:29:09.000Z,156,703.02001953125,47.372607411816716,15.096742529422045
2025-09-06T08:29:15.000Z,158,717.4400024414062,47.37248629331589,15.096810339018703
2025-09-06T08:29:18.000Z,157,725.2100219726562,47.37241856753826,15.096837244927883
2025-09-06T08:29:18.000Z,157,725.2100219726562,47.37241856753826,15.096837244927883
2025-09-06T08:29:21.000Z,159,733.6199951171875,47.37234706990421,15.096874628216028
2025-09-06T08:29:28.000Z,161,753.510009765625,47.37217750400305,15.096961800009012
2025-09-06T08:29:36.000Z,161,775.9099731445312,47.37198296003044,15.097039332613349
2025-09-06T08:29:37.000Z,161,778.3699951171875,47.37196267582476,15.097052156925201
2025-09-06T08:29:43.000Z,161,793.75,47.37183610908687,15.097134383395314
2025-09-06T08:29:50.000Z,162,814.5,47.37165480852127,15.097201522439718
2025-09-06T08:29:51.000Z,162,817.8699951171875,47.3716258071363,15.097214598208666
2025-09-06T08:29:58.000Z,163,838.5900268554688,47.37144811078906,15.097299003973603
2025-09-06T08:30:05.000Z,161,860.4400024414062,47.37125700339675,15.097379805520177
2025-09-06T08:30:06.000Z,161,863.530029296875,47.37123001366854,15.097390115261078
2025-09-06T08:30:11.000Z,160,877.77001953125,47.37110696732998,15.097443256527185
2025-09-06T08:30:18.000Z,159,900.0499877929688,47.370902029797435,15.097471084445715
2025-09-06T08:30:24.000Z,160,921.1599731445312,47.370724165812135,15.097581138834357
2025-09-06T08:30:26.000Z,161,927.030029296875,47.37067278474569,15.097599998116493
2025-09-06T08:30:34.000Z,159,946.97998046875,47.37049919553101,15.097663700580597
2025-09-06T08:30:41.000Z,161,967.260009765625,47.37031697295606,15.097708627581596
2025-09-06T08:30:47.000Z,160,981.9000244140625,47.37019023858011,15.097754476591945
2025-09-06T08:30:51.000Z,163,990.2999877929688,47.37011739984155,15.097781466320157
2025-09-06T08:30:54.000Z,162,998.2999877929688,47.37004665657878,15.097802504897118
2025-09-06T08:30:57.000Z,165,1006.6199951171875,47.369973147287965,15.097825219854712
2025-09-06T08:31:01.000Z,164,1016.9500122070312,47.36988396383822,15.097862351685762
2025-09-06T08:31:05.000Z,167,1026.8699951171875,47.36979570239782,15.097845923155546
2025-09-06T08:31:08.000Z,167,1033.75,47.36973359249532,15.097843827679753
2025-09-06T08:31:15.000Z,168,1048.8199462890625,47.369598895311356,15.097865872085094
2025-09-06T08:31:22.000Z,171,1067.25,47.3694309219718,15.097863106057048
2025-09-06T08:31:23.000Z,171,1069.3299560546875,47.369411224499345,15.097870482131839
2025-09-06T08:31:28.000Z,172,1081.25,47.369303768500686,15.097898142412305
2025-09-06T08:31:33.000Z,173,1092.8299560546875,47.369200168177485,15.097924461588264
2025-09-06T08:31:35.000Z,172,1097.4599609375,47.36915725283325,15.097931921482086
2025-09-06T08:31:41.000Z,175,1113.030029296875,47.369017358869314,15.09794382378459
2025-09-06T08:31:42.000Z,174,1115.260009765625,47.36899757757783,15.097950361669064
2025-09-06T08:31:44.000Z,173,1119.6800537109375,47.36895994283259,15.097967460751534
2025-09-06T08:31:46.000Z,174,1123.3599853515625,47.36893027089536,15.097989588975906
2025-09-06T08:31:48.000Z,173,1127.06005859375,47.36889783293009,15.097996965050697
2025-09-06T08:31:50.000Z,174,1132.280029296875,47.36884963698685,15.097994282841682
2025-09-06T08:31:51.000Z,175,1135.3499755859375,47.36882222816348,15.097999814897776
2025-09-06T08:31:54.000Z,174,1144.68994140625,47.36873782239854,15.098006185144186
2025-09-06T08:31:57.000Z,174,1151.0999755859375,47.36867671832442,15.09802881628275
2025-09-06T08:31:59.000Z,174,1155.3499755859375,47.36864184960723,15.098009454086423
2025-09-06T08:32:01.000Z,173,1159.43994140625,47.368605975061655,15.09801909327507
2025-09-06T08:32:06.000Z,173,1174.1400146484375,47.36847588792443,15.098026804625988
2025-09-06T08:32:12.000Z,171,1191.010009765625,47.36832560040057,15.098048178479075
2025-09-06T08:32:18.000Z,172,1212.6600341796875,47.36813130788505,15.098065361380577
2025-09-06T08:32:20.000Z,172,1219.3199462890625,47.36807154491544,15.098073910921812
2025-09-06T08:32:27.000Z,170,1242.510009765625,47.36787415109575,15.09818815626204
2025-09-06T08:32:32.000Z,168,1261.0400390625,47.3677231092006,15.098269544541836
2025-09-06T08:32:37.000Z,168,1277.0999755859375,47.36757994629443,15.09820332750678
2025-09-06T08:32:40.000Z,168,1284.9599609375,47.36751800402999,15.098215145990252
2025-09-06T08:32:41.000Z,169,1287.4300537109375,47.36749554052949,15.098225204274058
2025-09-06T08:32:42.000Z,168,1289.530029296875,47.36747743561864,15.098233418539166
2025-09-06T08:32:45.000Z,168,1296.22998046875,47.36741675063968,15.098241548985243
2025-09-06T08:32:50.000Z,169,1310.719970703125,47.36728708259761,15.098265772685409
2025-09-06T08:32:56.000Z,166,1333.1800537109375,47.367085330188274,15.098262000828981
2025-09-06T08:32:58.000Z,166,1339.43994140625,47.3670285847038,15.098265437409282
2025-09-06T08:33:01.000Z,164,1346.4300537109375,47.366972006857395,15.098306676372886
2025-09-06T08:33:03.000Z,164,1351.93994140625,47.36692230217159,15.098322350531816
2025-09-06T08:33:09.000Z,163,1369.3699951171875,47.36677234992385,15.0982731487602
2025-09-06T08:33:16.000Z,161,1391.52001953125,47.36658761277795,15.098171811550856
2025-09-06T08:33:20.000Z,160,1404.0699462890625,47.366477977484465,15.098216235637665
2025-09-06T08:33:21.000Z,160,1407.56005859375,47.36645366996527,15.098248925060034
2025-09-06T08:33:27.000Z,160,1425.7900390625,47.36629692837596,15.098324529826641
2025-09-06T08:33:34.000Z,160,1446.8199462890625,47.366111101582646,15.098384628072381
2025-09-06T08:33:35.000Z,159,1450.3800048828125,47.366079334169626,15.098379012197256
2025-09-06T08:33:41.000Z,162,1468.72998046875,47.36591764725745,15.098327463492751
2025-09-06T08:33:44.000Z,162,1479.25,47.36583424732089,15.098260324448347
2025-09-06T08:33:51.000Z,164,1501.5699462890625,47.36565981991589,15.098123699426651
2025-09-06T08:33:53.000Z,163,1506.81005859375,47.36562361009419,15.098077347502112
2025-09-06T08:34:00.000Z,162,1524.43994140625,47.36548765562475,15.097954804077744
2025-09-06T08:34:05.000Z,164,1537.239990234375,47.36537768505514,15.097904596477747
2025-09-06T08:34:13.000Z,164,1558.3299560546875,47.36519563011825,15.09782463312149
2025-09-06T08:34:20.000Z,165,1578.0899658203125,47.36502857878804,15.097735114395618
2025-09-06T08:34:25.000Z,165,1590.2900390625,47.36492346972227,15.097691193223
2025-09-06T08:34:32.000Z,166,1606.3800048828125,47.36478567123413,15.097629418596625
2025-09-06T08:34:39.000Z,168,1624.8199462890625,47.36462499015033,15.097600920125842
2025-09-06T08:34:47.000Z,169,1645.8599853515625,47.36443815752864,15.097558004781604
2025-09-06T08:34:50.000Z,170,1652.989990234375,47.36437311396003,15.097550293430686
2025-09-06T08:34:52.000Z,170,1657.8199462890625,47.36432927660644,15.097554735839367
2025-09-06T08:34:55.000Z,170,1666.43994140625,47.364251744002104,15.097539480775595
2025-09-06T08:35:02.000Z,171,1686.72998046875,47.36407564021647,15.09746940806508
2025-09-06T08:35:03.000Z,171,1689.3699951171875,47.36405217088759,15.097463708370924
2025-09-06T08:35:11.000Z,172,1710.6500244140625,47.36386810429394,15.097386427223682
2025-09-06T08:35:13.000Z,172,1716.260009765625,47.3638238478452,15.097354156896472
2025-09-06T08:35:16.000Z,172,1724.3499755859375,47.363782189786434,15.097267907112837
2025-09-06T08:35:18.000Z,172,1730.699951171875,47.36377816647291,15.09718450717628
2025-09-06T08:35:24.000Z,171,1750.7099609375,47.3638082575053,15.096922740340233
2025-09-06T08:35:25.000Z,171,1753.7099609375,47.363814543932676,15.09688401594758
2025-09-06T08:35:32.000Z,173,1775.4300537109375,47.36385720781982,15.096603306010365
2025-09-06T08:35:33.000Z,173,1778.97998046875,47.36386399716139,15.09655712172389
2025-09-06T08:35:40.000Z,173,1799.68994140625,47.363887801766396,15.096284374594688
2025-09-06T08:35:47.000Z,171,1820.1099853515625,47.36391110345721,15.096016488969326
2025-09-06T08:35:50.000Z,171,1828.3399658203125,47.36391697078943,15.09590769186616
2025-09-06T08:35:57.000Z,171,1847.1300048828125,47.36397807486355,15.095676016062498
2025-09-06T08:36:03.000Z,170,1864.3800048828125,47.36407672986388,15.095506198704243
2025-09-06T08:36:10.000Z,170,1887.0999755859375,47.36427127383649,15.095419865101576
2025-09-06T08:36:17.000Z,170,1909.1199951171875,47.36446355469525,15.09535457007587
2025-09-06T08:36:18.000Z,171,1912.6099853515625,47.364494148641825,15.095344092696905
2025-09-06T08:36:25.000Z,169,1933.5,47.36467964015901,15.09529790841043
2025-09-06T08:36:27.000Z,168,1938.8900146484375,47.36472808755934,15.09530033916235
2025-09-06T08:36:34.000Z,169,1960.239990234375,47.36491567455232,15.095245689153671
2025-09-06T08:36:35.000Z,169,1963.1800537109375,47.36494249664247,15.095243761315942
2025-09-06T08:36:42.000Z,171,1984.949951171875,47.36511901952326,15.095130018889904
2025-09-06T08:36:43.000Z,171,1987.8699951171875,47.365142991766334,15.095114093273878
2025-09-06T08:36:50.000Z,171,2009.4000244140625,47.365328734740615,15.095042008906603
2025-09-06T08:36:51.000Z,172,2012.52001953125,47.36535589210689,15.095031447708607
2025-09-06T08:36:58.000Z,171,2033.4000244140625,47.365539791062474,15.094981659203768
2025-09-06T08:37:00.000Z,170,2038.97998046875,47.36558564007282,15.094951400533319
2025-09-06T08:37:06.000Z,171,2055.31005859375,47.365685971453786,15.094795245677233
2025-09-06T08:37:12.000Z,173,2071.489990234375,47.36582737416029,15.09474721737206
2025-09-06T08:37:17.000Z,172,2083.469970703125,47.365927370265126,15.094715785235167
2025-09-06T08:37:18.000Z,172,2085.929931640625,47.36593533307314,15.094685107469559
2025-09-06T08:37:22.000Z,169,2098.8798828125,47.36593885347247,15.09451411664486
2025-09-06T08:37:28.000Z,167,2119.0,47.36592083238065,15.094249080866575
2025-09-06T08:37:29.000Z,168,2121.760009765625,47.36592032946646,15.09421220049262
2025-09-06T08:37:35.000Z,169,2138.389892578125,47.36591714434326,15.093992510810494
2025-09-06T08:37:42.000Z,168,2156.949951171875,47.36590608023107,15.0937470048666
2025-09-06T08:37:50.000Z,167,2178.10009765625,47.365906834602356,15.093466965481639
2025-09-06T08:37:58.000Z,170,2201.169921875,47.365876073017716,15.093166893348098
2025-09-06T08:37:59.000Z,169,2203.780029296875,47.36586702056229,15.093133868649602
2025-09-06T08:38:04.000Z,170,2217.590087890625,47.3658717982471,15.092952400445938
2025-09-06T08:38:11.000Z,169,2238.469970703125,47.36584698781371,15.09267789311707
2025-09-06T08:38:13.000Z,169,2244.010009765625,47.365843215957284,15.092604635283351
2025-09-06T08:38:21.000Z,171,2264.320068359375,47.365843299776316,15.09233582764864
2025-09-06T08:38:24.000Z,170,2271.570068359375,47.36584992147982,15.092239687219262
2025-09-06T08:38:33.000Z,169,2294.1298828125,47.36582879908383,15.091941962018609
